0: {'wait': 0.0, 'buy': 0.0} => wait
(1, 25): {'wait': 25.0, 'buy': 25.0} => wait
(2, 20): {'wait': 20.0, 'buy': 20.0} => wait
(2, 21): {'wait': 21.0, 'buy': 21.0} => wait
(2, 22): {'wait': 22.0, 'buy': 22.0} => wait
(2, 23): {'wait': 23.0, 'buy': 23.0} => wait
(2, 24): {'wait': 24.0, 'buy': 24.0} => wait
(2, 25): {'wait': 25.0, 'buy': 25.0} => wait
(2, 26): {'wait': 26.0, 'buy': 26.0} => wait
(2, 27): {'wait': 27.0, 'buy': 27.0} => wait
(2, 28): {'wait': 28.0, 'buy': 28.0} => wait
(2, 29): {'wait': 29.0, 'buy': 29.0} => wait
(2, 30): {'wait': 30.0, 'buy': 30.0} => wait
(3, 15): {'wait': 15.0, 'buy': 15.0} => wait
(3, 16): {'wait': 16.0, 'buy': 16.0} => wait
(3, 17): {'wait': 17.0, 'buy': 17.0} => wait
(3, 18): {'wait': 18.0, 'buy': 18.0} => wait
(3, 19): {'wait': 19.0, 'buy': 19.0} => wait
(3, 20): {'wait': 20.0, 'buy': 20.0} => wait
(3, 21): {'wait': 21.0, 'buy': 21.0} => wait
(3, 22): {'wait': 22.0, 'buy': 22.0} => wait
(3, 23): {'wait': 23.0, 'buy': 23.0} => wait
(3, 24): {'wait': 24.0, 'buy': 24.0} => wait
(3, 25): {'wait': 25.0, 'buy': 25.0} => wait
(3, 26): {'wait': 26.0, 'buy': 26.0} => wait
(3, 27): {'wait': 27.0, 'buy': 27.0} => wait
(3, 28): {'wait': 28.0, 'buy': 28.0} => wait
(3, 29): {'wait': 29.0, 'buy': 29.0} => wait
(3, 30): {'wait': 30.0, 'buy': 30.0} => wait
(3, 31): {'wait': 31.0, 'buy': 31.0} => wait
(3, 32): {'wait': 32.0, 'buy': 32.0} => wait
(3, 33): {'wait': 33.0, 'buy': 33.0} => wait
(3, 34): {'wait': 34.0, 'buy': 34.0} => wait
(3, 35): {'wait': 35.0, 'buy': 35.0} => wait
(4, 10): {'wait': 10.0, 'buy': 10.0} => wait
(4, 11): {'wait': 11.0, 'buy': 11.0} => wait
(4, 12): {'wait': 12.0, 'buy': 12.0} => wait
(4, 13): {'wait': 13.0, 'buy': 13.0} => wait
(4, 14): {'wait': 14.0, 'buy': 14.0} => wait
(4, 15): {'wait': 15.0, 'buy': 15.0} => wait
(4, 16): {'wait': 16.0, 'buy': 16.0} => wait
(4, 17): {'wait': 17.0, 'buy': 17.0} => wait
(4, 18): {'wait': 18.0, 'buy': 18.0} => wait
(4, 19): {'wait': 19.0, 'buy': 19.0} => wait
(4, 20): {'wait': 20.0, 'buy': 20.0} => wait
(4, 21): {'wait': 21.0, 'buy': 21.0} => wait
(4, 22): {'wait': 22.0, 'buy': 22.0} => wait
(4, 23): {'wait': 23.0, 'buy': 23.0} => wait
(4, 24): {'wait': 24.0, 'buy': 24.0} => wait
(4, 25): {'wait': 25.0, 'buy': 25.0} => wait
(4, 26): {'wait': 26.0, 'buy': 26.0} => wait
(4, 27): {'wait': 27.0, 'buy': 27.0} => wait
(4, 28): {'wait': 28.0, 'buy': 28.0} => wait
(4, 29): {'wait': 29.0, 'buy': 29.0} => wait
(4, 30): {'wait': 30.0, 'buy': 30.0} => wait
(4, 31): {'wait': 31.0, 'buy': 31.0} => wait
(4, 32): {'wait': 32.0, 'buy': 32.0} => wait
(4, 33): {'wait': 33.0, 'buy': 33.0} => wait
(4, 34): {'wait': 34.0, 'buy': 34.0} => wait
(4, 35): {'wait': 35.0, 'buy': 35.0} => wait
(4, 36): {'wait': 36.0, 'buy': 36.0} => wait
(4, 37): {'wait': 37.0, 'buy': 37.0} => wait
(4, 38): {'wait': 38.0, 'buy': 38.0} => wait
(4, 39): {'wait': 39.0, 'buy': 39.0} => wait
(4, 40): {'wait': 40.0, 'buy': 40.0} => wait
(5, 5): {'wait': 5.0, 'buy': 5.0} => wait
(5, 6): {'wait': 6.0, 'buy': 6.0} => wait
(5, 7): {'wait': 7.0, 'buy': 7.0} => wait
(5, 8): {'wait': 8.0, 'buy': 8.0} => wait
(5, 9): {'wait': 9.0, 'buy': 9.0} => wait
(5, 10): {'wait': 10.0, 'buy': 10.0} => wait
(5, 11): {'wait': 11.0, 'buy': 11.0} => wait
(5, 12): {'wait': 12.0, 'buy': 12.0} => wait
(5, 13): {'wait': 13.0, 'buy': 13.0} => wait
(5, 14): {'wait': 14.0, 'buy': 14.0} => wait
(5, 15): {'wait': 15.0, 'buy': 15.0} => wait
(5, 16): {'wait': 16.0, 'buy': 16.0} => wait
(5, 17): {'wait': 17.0, 'buy': 17.0} => wait
(5, 18): {'wait': 18.0, 'buy': 18.0} => wait
(5, 19): {'wait': 19.0, 'buy': 19.0} => wait
(5, 20): {'wait': 20.0, 'buy': 20.0} => wait
(5, 21): {'wait': 21.0, 'buy': 21.0} => wait
(5, 22): {'wait': 22.0, 'buy': 22.0} => wait
(5, 23): {'wait': 23.0, 'buy': 23.0} => wait
(5, 24): {'wait': 24.0, 'buy': 24.0} => wait
(5, 25): {'wait': 25.0, 'buy': 25.0} => wait
(5, 26): {'wait': 26.0, 'buy': 26.0} => wait
(5, 27): {'wait': 27.0, 'buy': 27.0} => wait
(5, 28): {'wait': 28.0, 'buy': 28.0} => wait
(5, 29): {'wait': 29.0, 'buy': 29.0} => wait
(5, 30): {'wait': 30.0, 'buy': 30.0} => wait
(5, 31): {'wait': 31.0, 'buy': 31.0} => wait
(5, 32): {'wait': 32.0, 'buy': 32.0} => wait
(5, 33): {'wait': 33.0, 'buy': 33.0} => wait
(5, 34): {'wait': 34.0, 'buy': 34.0} => wait
(5, 35): {'wait': 35.0, 'buy': 35.0} => wait
(5, 36): {'wait': 36.0, 'buy': 36.0} => wait
(5, 37): {'wait': 37.0, 'buy': 37.0} => wait
(5, 38): {'wait': 38.0, 'buy': 38.0} => wait
(5, 39): {'wait': 39.0, 'buy': 39.0} => wait
(5, 40): {'wait': 40.0, 'buy': 40.0} => wait
(5, 41): {'wait': 41.0, 'buy': 41.0} => wait
(5, 42): {'wait': 42.0, 'buy': 42.0} => wait
(5, 43): {'wait': 43.0, 'buy': 43.0} => wait
(5, 44): {'wait': 44.0, 'buy': 44.0} => wait
(5, 45): {'wait': 45.0, 'buy': 45.0} => wait
(6, 0): {'wait': 0.615234375, 'buy': 0.0} => buy
(6, 1): {'wait': 1.23828125, 'buy': 1.0} => buy
(6, 2): {'wait': 2.06640625, 'buy': 2.0} => buy
(6, 3): {'wait': 3.01171875, 'buy': 3.0} => buy
(6, 4): {'wait': 4.0009765625, 'buy': 4.0} => buy
(6, 5): {'wait': 5.0, 'buy': 5.0} => wait
(6, 6): {'wait': 6.0, 'buy': 6.0} => wait
(6, 7): {'wait': 7.0, 'buy': 7.0} => wait
(6, 8): {'wait': 8.0, 'buy': 8.0} => wait
(6, 9): {'wait': 9.0, 'buy': 9.0} => wait
(6, 10): {'wait': 10.0, 'buy': 10.0} => wait
(6, 11): {'wait': 11.0, 'buy': 11.0} => wait
(6, 12): {'wait': 12.0, 'buy': 12.0} => wait
(6, 13): {'wait': 13.0, 'buy': 13.0} => wait
(6, 14): {'wait': 14.0, 'buy': 14.0} => wait
(6, 15): {'wait': 15.0, 'buy': 15.0} => wait
(6, 16): {'wait': 16.0, 'buy': 16.0} => wait
(6, 17): {'wait': 17.0, 'buy': 17.0} => wait
(6, 18): {'wait': 18.0, 'buy': 18.0} => wait
(6, 19): {'wait': 19.0, 'buy': 19.0} => wait
(6, 20): {'wait': 20.0, 'buy': 20.0} => wait
(6, 21): {'wait': 21.0, 'buy': 21.0} => wait
(6, 22): {'wait': 22.0, 'buy': 22.0} => wait
(6, 23): {'wait': 23.0, 'buy': 23.0} => wait
(6, 24): {'wait': 24.0, 'buy': 24.0} => wait
(6, 25): {'wait': 25.0, 'buy': 25.0} => wait
(6, 26): {'wait': 26.0, 'buy': 26.0} => wait
(6, 27): {'wait': 27.0, 'buy': 27.0} => wait
(6, 28): {'wait': 28.0, 'buy': 28.0} => wait
(6, 29): {'wait': 29.0, 'buy': 29.0} => wait
(6, 30): {'wait': 30.0, 'buy': 30.0} => wait
(6, 31): {'wait': 31.0, 'buy': 31.0} => wait
(6, 32): {'wait': 32.0, 'buy': 32.0} => wait
(6, 33): {'wait': 33.0, 'buy': 33.0} => wait
(6, 34): {'wait': 34.0, 'buy': 34.0} => wait
(6, 35): {'wait': 35.0, 'buy': 35.0} => wait
(6, 36): {'wait': 36.0, 'buy': 36.0} => wait
(6, 37): {'wait': 37.0, 'buy': 37.0} => wait
(6, 38): {'wait': 38.0, 'buy': 38.0} => wait
(6, 39): {'wait': 39.0, 'buy': 39.0} => wait
(6, 40): {'wait': 40.0, 'buy': 40.0} => wait
