0: {'wait': 0.0, 'buy': 0.0} => wait
(1, 25): {'wait': 23.927181504203126, 'buy': 25.0} => wait
(2, 20): {'wait': 20.982547179386568, 'buy': 20.0} => buy
(2, 21): {'wait': 21.73682188446397, 'buy': 21.0} => buy
(2, 22): {'wait': 22.436357619123324, 'buy': 22.0} => buy
(2, 23): {'wait': 23.059952519762003, 'buy': 23.0} => buy
(2, 24): {'wait': 23.596619861856652, 'buy': 24.0} => wait
(2, 25): {'wait': 24.04858882271966, 'buy': 25.0} => wait
(2, 26): {'wait': 24.42865623062318, 'buy': 26.0} => wait
(2, 27): {'wait': 24.754112451601262, 'buy': 27.0} => wait
(2, 28): {'wait': 25.040903073889258, 'buy': 28.0} => wait
(2, 29): {'wait': 25.300656357359955, 'buy': 29.0} => wait
(2, 30): {'wait': 25.540801467116985, 'buy': 30.0} => wait
(3, 15): {'wait': 16.999999999999996, 'buy': 15.0} => buy
(3, 16): {'wait': 17.8, 'buy': 16.0} => buy
(3, 17): {'wait': 18.599999999999998, 'buy': 17.0} => buy
(3, 18): {'wait': 19.400000000000002, 'buy': 18.0} => buy
(3, 19): {'wait': 20.19821786223449, 'buy': 19.0} => buy
(3, 20): {'wait': 20.98729498875048, 'buy': 20.0} => buy
(3, 21): {'wait': 21.75172861074193, 'buy': 21.0} => buy
(3, 22): {'wait': 22.4698864216096, 'buy': 22.0} => buy
(3, 23): {'wait': 23.12053152602433, 'buy': 23.0} => buy
(3, 24): {'wait': 23.69032815390729, 'buy': 24.0} => wait
(3, 25): {'wait': 24.17810153651676, 'buy': 25.0} => wait
(3, 26): {'wait': 24.593819210073903, 'buy': 26.0} => wait
(3, 27): {'wait': 24.95348388819772, 'buy': 27.0} => wait
(3, 28): {'wait': 25.273184201909636, 'buy': 28.0} => wait
(3, 29): {'wait': 25.565313181010673, 'buy': 29.0} => wait
(3, 30): {'wait': 25.837933346886484, 'buy': 30.0} => wait
(3, 31): {'wait': 26.096110754184636, 'buy': 31.0} => wait
(3, 32): {'wait': 26.34335178086971, 'buy': 32.0} => wait
(3, 33): {'wait': 26.5822532313991, 'buy': 33.0} => wait
(3, 34): {'wait': 26.81470985176349, 'buy': 34.0} => wait
(3, 35): {'wait': 27.04212633250859, 'buy': 35.0} => wait
(4, 10): {'wait': 13.0, 'buy': 10.0} => buy
(4, 11): {'wait': 13.8, 'buy': 11.0} => buy
(4, 12): {'wait': 14.600000000000003, 'buy': 12.0} => buy
(4, 13): {'wait': 15.399999999999999, 'buy': 13.0} => buy
(4, 14): {'wait': 16.2, 'buy': 14.0} => buy
(4, 15): {'wait': 16.999999999999996, 'buy': 15.0} => buy
(4, 16): {'wait': 17.8, 'buy': 16.0} => buy
(4, 17): {'wait': 18.599999999999998, 'buy': 17.0} => buy
(4, 18): {'wait': 19.400000000000002, 'buy': 18.0} => buy
(4, 19): {'wait': 20.199034410167197, 'buy': 19.0} => buy
(4, 20): {'wait': 20.992063605676677, 'buy': 20.0} => buy
(4, 21): {'wait': 21.766790581062285, 'buy': 21.0} => buy
(4, 22): {'wait': 22.504016368455886, 'buy': 22.0} => buy
(4, 23): {'wait': 23.182762056454024, 'buy': 23.0} => buy
(4, 24): {'wait': 23.78766363493373, 'buy': 24.0} => wait
(4, 25): {'wait': 24.314399193693063, 'buy': 25.0} => wait
(4, 26): {'wait': 24.770228819940822, 'buy': 26.0} => wait
(4, 27): {'wait': 25.16983606271826, 'buy': 27.0} => wait
(4, 28): {'wait': 25.52930297599183, 'buy': 28.0} => wait
(4, 29): {'wait': 25.861582882679592, 'buy': 29.0} => wait
(4, 30): {'wait': 26.175170786236436, 'buy': 30.0} => wait
(4, 31): {'wait': 26.47524744643916, 'buy': 31.0} => wait
(4, 32): {'wait': 26.765300346084473, 'buy': 32.0} => wait
(4, 33): {'wait': 27.04792196354536, 'buy': 33.0} => wait
(4, 34): {'wait': 27.325001137974976, 'buy': 34.0} => wait
(4, 35): {'wait': 27.597930661542552, 'buy': 35.0} => wait
(4, 36): {'wait': 27.8677634372824, 'buy': 36.0} => wait
(4, 37): {'wait': 28.135306312997017, 'buy': 37.0} => wait
(4, 38): {'wait': 28.401175057240266, 'buy': 38.0} => wait
(4, 39): {'wait': 28.665835155971664, 'buy': 39.0} => wait
(4, 40): {'wait': 28.929636529060257, 'buy': 40.0} => wait
(5, 5): {'wait': 9.0, 'buy': 5.0} => buy
(5, 6): {'wait': 9.8, 'buy': 6.0} => buy
(5, 7): {'wait': 10.6, 'buy': 7.0} => buy
(5, 8): {'wait': 11.4, 'buy': 8.0} => buy
(5, 9): {'wait': 12.2, 'buy': 9.0} => buy
(5, 10): {'wait': 13.0, 'buy': 10.0} => buy
(5, 11): {'wait': 13.8, 'buy': 11.0} => buy
