0: {wait: 0.0, buy: 0.0} => [wait, buy]
(1, 25): {wait: 24.09910922702586, buy: 25.0} => [wait]
(2, 22): {wait: 22.29430570711769, buy: 22.0} => [buy]
(2, 23): {wait: 23.03343535437678, buy: 23.0} => [buy]
(2, 24): {wait: 23.658432590539288, buy: 24.0} => [wait]
(2, 25): {wait: 24.17158269204604, buy: 25.0} => [wait]
(2, 26): {wait: 24.597418893364647, buy: 26.0} => [wait]
(2, 27): {wait: 24.96383164770124, buy: 27.0} => [wait]
(2, 28): {wait: 25.290574543967818, buy: 28.0} => [wait]
(3, 19): {wait: 19.72, buy: 19.0} => [buy]
(3, 20): {wait: 20.6, buy: 20.0} => [buy]
(3, 21): {wait: 21.47081571031817, buy: 21.0} => [buy]
(3, 22): {wait: 22.304097288893068, buy: 22.0} => [buy]
(3, 23): {wait: 23.059608656585926, buy: 23.0} => [buy]
(3, 24): {wait: 23.707912012192097, buy: 24.0} => [wait]
(3, 25): {wait: 24.24688873973073, buy: 25.0} => [wait]
(3, 26): {wait: 24.69761796488833, buy: 26.0} => [wait]
(3, 27): {wait: 25.08731969220458, buy: 27.0} => [wait]
(3, 28): {wait: 25.436649686898143, buy: 28.0} => [wait]
(3, 29): {wait: 25.758186223459504, buy: 29.0} => [wait]
(3, 30): {wait: 26.059917837579032, buy: 30.0} => [wait]
(3, 31): {wait: 26.34733352839451, buy: 31.0} => [wait]
(4, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(4, 17): {wait: 17.96, buy: 17.0} => [buy]
(4, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(4, 19): {wait: 19.72, buy: 19.0} => [buy]
(4, 20): {wait: 20.6, buy: 20.0} => [buy]
(4, 21): {wait: 21.472783922325174, buy: 21.0} => [buy]
(4, 22): {wait: 22.314078677684687, buy: 22.0} => [buy]
(4, 23): {wait: 23.08637521693115, buy: 23.0} => [buy]
(4, 24): {wait: 23.758744283870186, buy: 24.0} => [wait]
(4, 25): {wait: 24.32473697092338, buy: 25.0} => [wait]
(4, 26): {wait: 24.8020209190858, buy: 26.0} => [wait]
(4, 27): {wait: 25.21716103132698, buy: 27.0} => [wait]
(4, 28): {wait: 25.591695691997472, buy: 28.0} => [wait]
(4, 29): {wait: 25.938878477187387, buy: 29.0} => [wait]
(4, 30): {wait: 26.266885359031825, buy: 30.0} => [wait]
(4, 31): {wait: 26.581300356604213, buy: 31.0} => [wait]
(4, 32): {wait: 26.8859086834988, buy: 32.0} => [wait]
(4, 33): {wait: 27.18335719315248, buy: 33.0} => [wait]
(4, 34): {wait: 27.475543058219618, buy: 34.0} => [wait]
(5, 13): {wait: 14.44, buy: 13.0} => [buy]
(5, 14): {wait: 15.32, buy: 14.0} => [buy]
(5, 15): {wait: 16.2, buy: 15.0} => [buy]
(5, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(5, 17): {wait: 17.96, buy: 17.0} => [buy]
(5, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(5, 19): {wait: 19.72, buy: 19.0} => [buy]
(5, 20): {wait: 20.6, buy: 20.0} => [buy]
(5, 21): {wait: 21.474755209566986, buy: 21.0} => [buy]
(5, 22): {wait: 22.32411106825473, buy: 22.0} => [buy]
(5, 23): {wait: 23.113412674487385, buy: 23.0} => [buy]
(5, 24): {wait: 23.810445875794564, buy: 24.0} => [wait]
(5, 25): {wait: 24.404641355150392, buy: 25.0} => [wait]
(5, 26): {wait: 24.91037890107054, buy: 26.0} => [wait]
(5, 27): {wait: 25.353570226733595, buy: 27.0} => [wait]
(5, 28): {wait: 25.756546022710076, buy: 28.0} => [wait]
(5, 29): {wait: 26.133106340455797, buy: 29.0} => [wait]
(5, 30): {wait: 26.491487793152103, buy: 30.0} => [wait]
(5, 31): {wait: 26.83726636431192, buy: 31.0} => [wait]
(5, 32): {wait: 27.174164958947003, buy: 32.0} => [wait]
(5, 33): {wait: 27.5047561415838, buy: 33.0} => [wait]
(5, 34): {wait: 27.83086694360596, buy: 34.0} => [wait]
(5, 35): {wait: 28.15381050345379, buy: 35.0} => [wait]
(5, 36): {wait: 28.47454016922285, buy: 36.0} => [wait]
(5, 37): {wait: 28.793747373654963, buy: 37.0} => [wait]
(6, 10): {wait: 11.8, buy: 10.0} => [buy]
(6, 11): {wait: 12.68, buy: 11.0} => [buy]
(6, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(6, 13): {wait: 14.44, buy: 13.0} => [buy]
(6, 14): {wait: 15.32, buy: 14.0} => [buy]
(6, 15): {wait: 16.2, buy: 15.0} => [buy]
(6, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(6, 17): {wait: 17.96, buy: 17.0} => [buy]
(6, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(6, 19): {wait: 19.72, buy: 19.0} => [buy]
(6, 20): {wait: 20.6, buy: 20.0} => [buy]
(6, 21): {wait: 21.476678824279684, buy: 21.0} => [buy]
(6, 22): {wait: 22.333962057060578, buy: 22.0} => [buy]
(6, 23): {wait: 23.140187796438376, buy: 23.0} => [buy]
(6, 24): {wait: 23.862228248922577, buy: 24.0} => [wait]
(6, 25): {wait: 24.48581861534685, buy: 25.0} => [wait]
(6, 26): {wait: 25.022277303867842, buy: 26.0} => [wait]
(6, 27): {wait: 25.496801825697688, buy: 27.0} => [wait]
