0: {wait: 0.0, buy: 0.0} => [wait, buy]
(1, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(2, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(2, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(2, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(2, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(2, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(2, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(2, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(3, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(3, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(3, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(3, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(3, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(3, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(3, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(3, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(3, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(3, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(3, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(3, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(3, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(4, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(4, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(4, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(4, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(4, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(4, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(4, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(4, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(4, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(4, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(4, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(4, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(4, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(4, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(4, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(4, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(4, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(4, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(4, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(5, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(5, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(5, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(5, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(5, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(5, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(5, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(5, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(5, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(5, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(5, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(5, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(5, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(5, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(5, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(5, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(5, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(5, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(5, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(5, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(5, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(5, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(5, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(5, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(5, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(6, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(6, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(6, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(6, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(6, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(6, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(6, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(6, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(6, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(6, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(6, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(6, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(6, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(6, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(6, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(6, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(6, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(6, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(6, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(6, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(6, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(6, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(6, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(6, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(6, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(6, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(6, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(6, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(6, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(6, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(6, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(7, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(7, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(7, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(7, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(7, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(7, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(7, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(7, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(7, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(7, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(7, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(7, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(7, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(7, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(7, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(7, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(7, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(7, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(7, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(7, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(7, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(7, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(7, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(7, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(7, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(7, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(7, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(7, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(7, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(7, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(7, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(7, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(7, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(7, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(7, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(7, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(7, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(8, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(8, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
(8, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(8, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(8, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(8, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(8, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(8, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(8, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(8, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(8, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(8, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(8, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(8, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(8, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(8, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(8, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(8, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(8, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(8, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(8, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(8, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(8, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(8, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(8, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(8, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(8, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(8, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(8, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(8, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(8, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(8, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(8, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(8, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(8, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(8, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(8, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(8, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(8, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(8, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(8, 44): {wait: 44.0, buy: 44.0} => [wait, buy]
(8, 45): {wait: 45.0, buy: 45.0} => [wait, buy]
(8, 46): {wait: 46.0, buy: 46.0} => [wait, buy]
(9, 1): {wait: 1.125, buy: 1.0} => [buy]
(9, 2): {wait: 2.015625, buy: 2.0} => [buy]
(9, 3): {wait: 3.0, buy: 3.0} => [wait, buy]
(9, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(9, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
